question_keyword,question,answer,law_reference
residence rights,Do married women have residence rights?,Married women have a right to reside in the shared household.,Protection of Women from Domestic Violence Act 2005
reproductive rights,What are reproductive rights?,Women have the right to make reproductive choices under Article 21.,Constitution of India Article 21
workplace pregnancy bias,Is pregnancy discrimination legal?,Firing a woman for pregnancy is illegal under the Maternity Benefit Act.,Maternity Benefit Act 1961
dowry demand,Is dowry demand legal?,Any direct or indirect demand for dowry is punishable by up to 5 years in prison.,Dowry Prohibition Act 1961
public harassment,How to report public harassment?,Use helpline 1091 or 181 for immediate assistance.,Indian Police Act
sexual harassment complaint,How to file sexual harassment complaint?,A woman can file a complaint with the Internal Complaints Committee within 3 months of the incident.,POSH Act 2013
human rights,Are women's rights human rights?,Women's rights are human rights protected under the UN CEDAW.,UN CEDAW
marriage age,What is the legal marriage age?,The legal age for marriage is 18 for women and 21 for men in India.,Prohibition of Child Marriage Act 2006
divorce abroad,Can I get divorce if I am abroad?,Divorce decrees from foreign courts are valid if not against Indian law or natural justice.,Code of Civil Procedure
forced marriage,Is forced marriage legal?,Forced marriage is illegal and can be reported to police or women's helpline 181.,Indian Penal Code
child custody after divorce,Who gets child custody after divorce?,Custody is decided based on the child's welfare, not gender.,Hindu Minority and Guardianship Act 1956
sexual consent age,What is the age of consent?,The age of consent in India is 18 years.,Indian Penal Code Section 375
police protection,Can I get police protection?,Women can demand immediate police protection under domestic violence complaints.,Protection of Women from Domestic Violence Act 2005
passport without husband's consent,Can I apply for passport without husband's consent?,A woman can apply for a passport without her husband's consent.,Passport Act 1967
bank account,Can I open a bank account?,Every woman can open a bank account in her name without a guardian or spouse.,Reserve Bank of India Guidelines
employment harassment,How to report employment harassment?,Harassment at workplace must be reported under the POSH Act within 90 days.,POSH Act 2013
workplace equality,Do women have workplace equality rights?,Women have the right to equal opportunity in hiring and promotion.,Constitution of India Article 14
sexual assault evidence,How is sexual assault evidence collected?,Medical examination must be done within 24 hours of the complaint.,Criminal Law Amendment Act 2013
cyberstalking,Is cyberstalking a crime?,Online stalking is a punishable offence under the IT Act and IPC Section 354D.,IT Act 2000 and IPC Section 354D
cyberbullying,How to report cyberbullying?,Report cyberbullying on cybercrime.gov.in or dial 1930 helpline.,Information Technology Act 2000
marital cruelty,What is marital cruelty?,Marital cruelty is punishable under IPC Section 498A.,Indian Penal Code Section 498A
spousal maintenance,Can I get spousal maintenance?,A wife can seek maintenance if the husband neglects her without reasonable cause.,Code of Criminal Procedure Section 125
economic abuse,What is economic abuse?,Withholding money or denying access to financial resources counts as domestic violence.,Protection of Women from Domestic Violence Act 2005
sexual exploitation workplace,What is workplace sexual exploitation?,Exploitation by authority figures is punishable under POSH Act and IPC Section 354A.,POSH Act 2013
police female officer,Can I have a female officer record my statement?,Female officers must record statements of female victims of sexual offences.,Criminal Law Amendment Act 2013
complaint timing,Can I file complaint after delay?,Police must register an FIR immediately, irrespective of time or place of offence.,Code of Criminal Procedure Section 154
gender equality law,What is gender equality law?,Article 14 and 15 of the Constitution ensure equality before law for all genders.,Constitution of India Articles 14 and 15
women reservation,Is there reservation for women?,33% reservation for women in local bodies is provided under the 73rd and 74th Amendments.,Constitution 73rd and 74th Amendments
sexual harassment school,Are schools required to have ICC?,Schools must have an Internal Complaints Committee for addressing harassment.,POSH Act 2013
transgender rights,What are transgender rights?,Transgender women are protected under the Transgender Persons (Protection of Rights) Act 2019.,Transgender Persons Act 2019
self-defense,Do I have self-defense rights?,Women have the right to use reasonable force for self-defense under IPC Section 97.,Indian Penal Code Section 97
sexual assault reporting delay,Does delay in reporting affect case?,A delay in reporting sexual assault does not discredit the complaint.,Indian Evidence Act
bride burning,What is bride burning?,It is a criminal offence punishable by life imprisonment under IPC 304B.,Indian Penal Code Section 304B
police FIR,How to file FIR?,Police must register an FIR under Section 154 of CrPC without delay.,Code of Criminal Procedure Section 154
gender wage gap,Is gender wage gap legal?,Paying women less than men for the same work violates the Equal Remuneration Act.,Equal Remuneration Act 1976
night shift safety,Can women work night shifts?,Women can work night shifts only if safety measures are ensured by employers.,Factories Act 1948
working mother rights,What are working mother rights?,Mothers can request flexible hours or work-from-home under labor laws.,Factories Act 1948
online fraud,How to report online fraud?,Women can report financial or sexual fraud to the Cyber Crime Portal.,Information Technology Act 2000
domestic violence shelter,Are there domestic violence shelters?,Each district has protection officers and shelter homes for victims.,Protection of Women from Domestic Violence Act 2005
women helpline,What is women helpline?,Call 181 for any emergency related to women's safety or legal help.,Government of India
court marriage,How to do court marriage?,You can apply for a court marriage under the Special Marriage Act 1954.,Special Marriage Act 1954
inheritance muslim law,What are inheritance rights under Muslim law?,Under Muslim law, women are entitled to a share of inheritance.,Muslim Personal Law
rape punishment,What is punishment for rape?,Rape punishment can extend to life imprisonment or death penalty in aggravated cases.,Indian Penal Code Section 376
medical termination,What is medical termination of pregnancy?,Abortion up to 24 weeks is legal under the amended MTP Act 2021.,Medical Termination of Pregnancy Act 1971
sexual orientation discrimination,Is discrimination based on sexual orientation legal?,Discrimination based on sexual orientation is unconstitutional.,Supreme Court Judgments
trafficking victim aid,What aid is available for trafficking victims?,Rehabilitation and legal aid are provided under the Ujjawala Scheme.,Ujjawala Scheme
widow pension,Can widows get pension?,Widows can claim pension under state government welfare schemes.,State Government Schemes
property dispute,How to resolve property dispute?,Women can file a civil suit for partition or inheritance rights.,Civil Procedure Code
maintenance unmarried woman,Can unmarried woman get maintenance?,An unmarried woman can claim maintenance if deserted after a live-in relationship.,Code of Criminal Procedure Section 125
police complaint online,Can I file police complaint online?,FIRs for cybercrime can be filed at cybercrime.gov.in.,Information Technology Act 2000
education discrimination,Is education discrimination legal?,Schools cannot deny admission based on gender or pregnancy.,Right to Education Act 2009
healthcare rights,What are healthcare rights?,Women have a right to safe and affordable healthcare under Article 21.,Constitution of India Article 21
sex selective abortion,Is sex selective abortion legal?,It is illegal to determine or reveal the sex of a fetus in India.,PCPNDT Act 1994
marriage without consent,Is marriage without consent valid?,Marriage without free consent is void under the Hindu Marriage Act.,Hindu Marriage Act 1955
sexual exploitation minors,What is sexual exploitation of minors?,Sexual acts with minors are punishable under POCSO Act 2012.,POCSO Act 2012
acid attack compensation,What compensation do acid attack victims get?,Minimum compensation of ₹3 lakh must be given to acid attack victims.,Criminal Law Amendment Act 2013
illegal abortion,Is illegal abortion punishable?,Unauthorized abortion is punishable under IPC Section 312.,Indian Penal Code Section 312
workplace pregnancy protection,Is pregnancy protection at workplace legal?,Dismissing a woman due to pregnancy is punishable under Maternity Benefit Act.,Maternity Benefit Act 1961
political representation,Can women contest elections?,Women can contest elections at all levels under the Indian Constitution.,Constitution of India
internet safety,How to stay safe online?,Use strong passwords and avoid sharing personal data online to prevent cyber abuse.,Information Technology Act 2000
women police helpline,What is women police helpline?,Call 1091 for immediate help from women's police.,Indian Police
passport for single mother,Can single mother apply for passport?,Single mothers can apply for their child's passport without father's consent.,Passport Act 1967
police verification delay,What if police verification is delayed?,You can complain to the Superintendent of Police if verification is delayed.,Police Rules
maternity benefit,What is maternity benefit?,Maternity Benefit Act 1961 ensures paid leave and job security for new mothers.,Maternity Benefit Act 1961
thank you,Thank you,😊 You're very welcome! Always happy to help 💖,
thanks,Thanks,🙌 No problem! That's what I'm here for — justice and good vibes ✨,
thanks a lot,Thanks a lot,🤗 Aww, you're too kind! I'm just doing my legal superhero duties 🦸‍♀️,
thankyou so much,Thankyou so much,💐 You made my algorithm blush! Glad I could help 🌸,
thank u,Thank u,💬 You're most welcome! Keep shining and knowing your rights 💪,
thankyou,Thankyou,🌼 My pleasure! You deserve support and clarity always.,
thankyou yrr,Thankyou,Thankyou for using me.,
